barrio,tipo_delito,timestamp,geometry,site,edge,lane
NUEVA POMPEYA,Lesiones Seg Vial,2017-03-06 19:00:00,POINT (-58.4101 -34.6494),"TABORDA, DIOGENES 942",1.5,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-03-06 00:00:00,POINT (-58.4695 -34.6493),"PERON, EVA AV. 3999",188.1,0
FLORES,Lesiones Seg Vial,2017-03-06 15:45:00,POINT (-58.4636 -34.6488),"ACOSTA, MARIANO 1705",1.1,0
BARRACAS,Lesiones Seg Vial,2017-03-06 00:00:00,POINT (-58.3773 -34.6361),HERRERA 516,79.2,0
PARQUE PATRICIOS,Lesiones Seg Vial,2017-03-06 08:10:00,POINT (-58.4081 -34.6321),"URQUIZA, GRAL. 1795",0.6,0
BOEDO,Lesiones Seg Vial,2017-03-06 08:40:00,POINT (-58.4178 -34.6316),"GARAY, JUAN DE AV. 3805",1.2,0
FLORES,Lesiones Seg Vial,2017-03-06 00:50:00,POINT (-58.4675 -34.6301),LA PORTEÑA 14,6.3,0
CONSTITUCION,Lesiones Seg Vial,2017-03-06 00:57:00,POINT (-58.379 -34.6292),"IRIGOYEN, BERNARDO DE 1601",12.6,1
BOEDO,Lesiones Seg Vial,2017-03-06 09:23:00,POINT (-58.4134 -34.6277),CONSTITUCION 3402,4.4,1
CONSTITUCION,Lesiones Seg Vial,2017-03-06 12:40:00,POINT (-58.3844 -34.627),SANTIAGO DEL ESTERO 1595,3.9,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-03-06 01:15:00,POINT (-58.4101 -34.6247),SAN JUAN AV. 3183,25.7,0
CONSTITUCION,Lesiones Seg Vial,2017-03-06 00:00:00,POINT (-58.3831 -34.6229),SALTA 1241,52.8,0
BOEDO,Lesiones Seg Vial,2017-03-06 09:00:00,POINT (-58.4204 -34.6227),ESTADOS UNIDOS 3895,14.2,1
CABALLITO,Lesiones Seg Vial,2017-03-06 17:30:00,POINT (-58.4309 -34.6225),"ALBERDI, JUAN BAUTISTA AV. 201",11.4,1
CONSTITUCION,Lesiones Seg Vial,2017-03-06 15:35:00,POINT (-58.3858 -34.6224),SAN JUAN AV. 1394,3.2,0
BALVANERA,Lesiones Seg Vial,2017-03-06 02:12:00,POINT (-58.4108 -34.6203),24 DE NOVIEMBRE 795,3.5,1
FLORES,Lesiones Seg Vial,2017-03-06 11:30:00,POINT (-58.4734 -34.6203),GAONA AV. 3442,62.9,0
CONSTITUCION,Lesiones Seg Vial,2017-03-06 08:45:00,POINT (-58.3916 -34.6188),ENTRE RIOS AV. 866,33.8,0
PUERTO MADERO,Lesiones Seg Vial,2017-03-06 19:00:00,POINT (-58.3664 -34.618),"HUERGO, ING. AV. 838",12.4,1
VILLA SANTA RITA,Lesiones Seg Vial,2017-03-06 21:45:00,POINT (-58.4782 -34.6154),"ESCALADA DE SAN MARTIN, R. 2895",3.4,0
VILLA GRAL. MITRE,Lesiones Seg Vial,2017-03-06 14:30:00,POINT (-58.4619 -34.6148),GAONA AV. 2501,3.0,0
MONSERRAT,Lesiones Seg Vial,2017-03-06 09:10:00,POINT (-58.369 -34.6135),PASEO COLON AV. 486,4.9,0
VILLA DEVOTO,Lesiones Seg Vial,2017-03-06 12:00:00,POINT (-58.5215 -34.6121),"LISTA, RAMON, CORONEL 5001",24.8,0
VILLA DEVOTO,Lesiones Seg Vial,2017-03-06 18:30:00,POINT (-58.5183 -34.6098),LASTRA AV. 3508,21.5,0
SAN NICOLAS,Lesiones Seg Vial,2017-03-06 04:30:00,POINT (-58.3814 -34.605),SARMIENTO 1040,3.8,0
BALVANERA,Lesiones Seg Vial,2017-03-06 07:30:00,POINT (-58.3939 -34.6045),RIOBAMBA 388,4.0,1
BALVANERA,Lesiones Seg Vial,2017-03-06 11:00:00,POINT (-58.3976 -34.6044),CORRIENTES AV. 2143,58.0,1
ALMAGRO,Lesiones Seg Vial,2017-03-06 10:35:00,POINT (-58.4208 -34.6019),MEDRANO AV. 708,1.3,1
VILLA DEVOTO,Lesiones Seg Vial,2017-03-06 19:15:00,POINT (-58.512 -34.6014),ASUNCION 4115,16.6,0
RETIRO,Lesiones Seg Vial,2017-03-06 08:20:00,POINT (-58.3722 -34.5918),SAN MARTIN 1302,3.9,1
PALERMO,Lesiones Seg Vial,2017-03-06 07:40:00,POINT (-58.4344 -34.5914),CORDOBA AV. 5001,5.7,1
RETIRO,Lesiones Seg Vial,2017-03-06 21:30:00,POINT (-58.3795 -34.59),DEL LIBERTADOR AV. 404,13.8,1
RECOLETA,Lesiones Seg Vial,2017-03-06 12:40:00,POINT (-58.3961 -34.5738),"CASTILLO, RAMON S., PRES. AV. 2597",145.7,0
BELGRANO,Lesiones Seg Vial,2017-03-06 00:30:00,POINT (-58.4612 -34.5572),CABILDO AV. 2656,28.8,0
SAAVEDRA,Lesiones Seg Vial,2017-03-06 19:30:00,POINT (-58.4875 -34.545),MELIAN AV. 4891,2.7,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-03-05 18:00:00,POINT (-58.469 -34.6496),LACARRA AV. 1632,19.8,0
FLORESTA,Lesiones Seg Vial,2017-03-05 18:30:00,POINT (-58.4873 -34.6263),GAONA AV. 4553,51.3,0
SAN TELMO,Lesiones Seg Vial,2017-03-05 15:30:00,POINT (-58.3751 -34.6256),CHACABUCO 1489,5.1,0
BALVANERA,Lesiones Seg Vial,2017-03-05 11:17:00,POINT (-58.3991 -34.6174),CHILE 2327,5.2,1
CABALLITO,Lesiones Seg Vial,2017-03-05 16:05:00,POINT (-58.4329 -34.6167),CAMPICHUELO 50,2.7,1
ALMAGRO,Lesiones Seg Vial,2017-03-05 00:12:00,POINT (-58.4141 -34.6131),"YRIGOYEN, HIPOLITO AV. 3360",56.9,0
SAN NICOLAS,Lesiones Seg Vial,2017-03-05 11:25:00,POINT (-58.3713 -34.6078),RIVADAVIA AV. 317,20.0,1
BALVANERA,Lesiones Seg Vial,2017-03-05 01:10:00,POINT (-58.412 -34.6051),"GOMEZ, VALENTIN 3294",3.8,0
ALMAGRO,Lesiones Seg Vial,2017-03-05 06:22:00,POINT (-58.4304 -34.604),LAMBARE 901,3.8,0
BALVANERA,Lesiones Seg Vial,2017-03-05 15:55:00,POINT (-58.4082 -34.5981),"ANCHORENA, TOMAS MANUEL DE, DR. 899",5.0,0
RECOLETA,Lesiones Seg Vial,2017-03-05 20:10:00,POINT (-58.389 -34.5891),"QUINTANA, MANUEL, PRES. AV. 403",3.5,0
PALERMO,Lesiones Seg Vial,2017-03-05 19:29:00,POINT (-58.428 -34.586),THAMES 1895,1.6,0
PALERMO,Lesiones Seg Vial,2017-03-05 22:40:00,POINT (-58.4431 -34.5854),CORDOBA AV. 5885,27.1,0
PALERMO,Lesiones Seg Vial,2017-03-05 22:15:00,POINT (-58.4072 -34.5832),LAS HERAS GENERAL AV. 3598,1.5,0
MATADEROS,Lesiones Seg Vial,2017-03-04 17:20:00,POINT (-58.4949 -34.6485),TAPALQUE 5147,45.0,0
PARQUE CHACABUCO,Lesiones Seg Vial,2017-03-04 12:30:00,POINT (-58.4355 -34.6444),"VEDIA, AGUSTIN DE 2180",58.8,0
FLORES,Lesiones Seg Vial,2017-03-04 11:30:00,POINT (-58.4436 -34.6424),CASTAÑARES AV. 2046,52.9,0
BOCA,Lesiones Seg Vial,2017-03-04 20:00:00,POINT (-58.3661 -34.6405),MAGALLANES 1151,2.2,1
LINIERS,Lesiones Seg Vial,2017-03-04 01:45:00,POINT (-58.5251 -34.6405),CARHUE 131,5.5,0
FLORES,Lesiones Seg Vial,2017-03-04 04:50:00,POINT (-58.4675 -34.6355),DIRECTORIO AV. 2901,1.9,0
BOEDO,Lesiones Seg Vial,2017-03-04 18:30:00,POINT (-58.4146 -34.6288),MAZA 1497,4.6,1
ALMAGRO,Lesiones Seg Vial,2017-03-04 01:20:00,POINT (-58.4288 -34.6171),LA PLATA AV. 170,9.3,1
BALVANERA,Lesiones Seg Vial,2017-03-04 03:08:00,POINT (-58.4117 -34.6105),"ANCHORENA, TOMAS MANUEL DE, DR. 17",4.1,1
BALVANERA,Lesiones Seg Vial,2017-03-04 21:30:00,POINT (-58.4118 -34.6041),CORRIENTES AV. 3301,4.9,1
SAN NICOLAS,Lesiones Seg Vial,2017-03-04 12:20:00,POINT (-58.3773 -34.6034),CORRIENTES AV. 745,57.9,1
AGRONOMIA,Lesiones Seg Vial,2017-03-04 03:45:00,POINT (-58.4834 -34.5978),SAN MARTIN AV. 4524,9.9,0
RECOLETA,Lesiones Seg Vial,2017-03-04 15:40:00,POINT (-58.4022 -34.5947),PUEYRREDON AV. 1385,23.7,0
PALERMO,Lesiones Seg Vial,2017-03-04 15:05:00,POINT (-58.4302 -34.59),GURRUCHAGA 1524,4.1,1
VILLA PUEYRREDON,Lesiones Seg Vial,2017-03-04 18:58:00,POINT (-58.4935 -34.5809),MOSCONI GENERAL AV. 2102,4.5,0
PALERMO,Lesiones Seg Vial,2017-03-04 11:20:00,POINT (-58.4253 -34.5787),SANTA FE AV. 4513,5.6,1
SAAVEDRA,Lesiones Seg Vial,2017-03-04 12:10:00,POINT (-58.4959 -34.5484),"PAZ, GRAL. AV. 3102",2.3,0
SAAVEDRA,Lesiones Seg Vial,2017-03-04 12:10:00,POINT (-58.4959 -34.5484),"PAZ, GRAL. AV. 3102",2.3,0
VILLA RIACHUELO,Lesiones Seg Vial,2017-03-03 07:00:00,POINT (-58.464 -34.6923),"GORDILLO, TIMOTEO 5690",5.3,0
VILLA LUGANO,Lesiones Seg Vial,2017-03-03 15:15:00,POINT (-58.495 -34.6728),CARHUE 3365,69.6,0
MATADEROS,Lesiones Seg Vial,2017-03-03 17:24:00,POINT (-58.5185 -34.6624),"PAZ, GRAL. AV. 12694",16.5,0
BARRACAS,Lesiones Seg Vial,2017-03-03 14:30:00,POINT (-58.3698 -34.6459),CALIFORNIA 1393,4.5,0
FLORES,Lesiones Seg Vial,2017-03-03 16:19:00,POINT (-58.458 -34.6416),CULPINA 1174,4.1,0
CABALLITO,Lesiones Seg Vial,2017-03-03 12:30:00,POINT (-58.4348 -34.6281),CRAIG 797,6.7,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-03-03 20:00:00,POINT (-58.3971 -34.628),"GARAY, JUAN DE AV. 2301",18.2,1
BOEDO,Lesiones Seg Vial,2017-03-03 12:30:00,POINT (-58.4164 -34.6224),ESTADOS UNIDOS 3605,5.1,1
CONSTITUCION,Lesiones Seg Vial,2017-03-03 04:00:00,POINT (-58.3808 -34.6222),LIMA 1102,6.0,0
MONSERRAT,Lesiones Seg Vial,2017-03-03 18:30:00,POINT (-58.3803 -34.6135),"IRIGOYEN, BERNARDO DE 432",51.9,1
BALVANERA,Lesiones Seg Vial,2017-03-03 14:25:00,POINT (-58.4085 -34.6105),RIVADAVIA AV. 2976,5.9,1
BALVANERA,Lesiones Seg Vial,2017-03-03 13:15:00,POINT (-58.4073 -34.6066),BOULOGNE SUR MER 304,4.2,0
VILLA DEL PARQUE,Lesiones Seg Vial,2017-03-03 12:50:00,POINT (-58.4862 -34.6057),NAZCA AV. 2607,4.8,0
PALERMO,Lesiones Seg Vial,2017-03-03 13:35:00,POINT (-58.4202 -34.5978),CORDOBA AV. 3806,4.4,0
CHACARITA,Lesiones Seg Vial,2017-03-03 00:00:00,POINT (-58.4518 -34.5899),GUZMAN 396,18.9,0
VILLA DEVOTO,Lesiones Seg Vial,2017-03-03 01:30:00,POINT (-58.5191 -34.5892),"PAZ, GRAL. AV. 6302",9.1,0
VILLA DEVOTO,Lesiones Seg Vial,2017-03-03 15:30:00,POINT (-58.5191 -34.5892),"PAZ, GRAL. AV. 6302",9.1,0
VILLA ORTUZAR,Lesiones Seg Vial,2017-03-03 12:30:00,POINT (-58.472 -34.5837),"ACHA, MARIANO, GRAL. 1001",7.5,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-03-03 16:23:00,POINT (-58.5091 -34.57),"PAZ, GRAL. AV. 4998",5.0,0
VILLA RIACHUELO,Lesiones Seg Vial,2017-03-02 07:00:00,POINT (-58.4701 -34.6979),SALADILLO 5978,9.1,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-03-02 13:00:00,POINT (-58.4215 -34.6567),"VEDIA, AGUSTIN DE 3599",1.4,1
FLORES,Lesiones Seg Vial,2017-03-02 21:45:00,POINT (-58.4586 -34.6448),SAN PEDRITO 1298,6.0,0
LINIERS,Lesiones Seg Vial,2017-03-02 14:00:00,POINT (-58.5236 -34.6402),COSQUIN 105,2.4,0
LINIERS,Lesiones Seg Vial,2017-03-02 14:00:00,POINT (-58.5236 -34.6402),COSQUIN 105,2.4,0
FLORES,Lesiones Seg Vial,2017-03-02 09:30:00,POINT (-58.4675 -34.6355),DIRECTORIO AV. 2901,1.9,0
FLORES,Lesiones Seg Vial,2017-03-02 10:50:00,POINT (-58.4645 -34.6321),VARELA 195,5.4,0
BOCA,Lesiones Seg Vial,2017-03-02 08:00:00,POINT (-58.356 -34.6286),DON PEDRO DE MENDOZA AV. 330,4.5,0
CABALLITO,Lesiones Seg Vial,2017-03-02 15:15:00,POINT (-58.454 -34.6256),RIVADAVIA AV. 6191,4.0,0
SAN TELMO,Lesiones Seg Vial,2017-03-02 13:30:00,POINT (-58.3727 -34.6231),BOLIVAR 1296,3.9,1
FLORES,Lesiones Seg Vial,2017-03-02 18:30:00,POINT (-58.4556 -34.6223),AVELLANEDA AV. 1862,5.1,0
BALVANERA,Lesiones Seg Vial,2017-03-02 13:25:00,POINT (-58.396 -34.6184),RINCON 804,2.2,1
BALVANERA,Lesiones Seg Vial,2017-03-02 20:20:00,POINT (-58.3932 -34.617),CHILE 1890,2.7,1
SAN NICOLAS,Lesiones Seg Vial,2017-03-02 20:30:00,POINT (-58.3778 -34.6082),RIVADAVIA AV. 780,1.6,1
VILLA DEVOTO,Lesiones Seg Vial,2017-03-02 10:00:00,POINT (-58.5105 -34.605),GUALEGUAYCHU 3312,5.3,0
SAN NICOLAS,Lesiones Seg Vial,2017-03-02 00:29:00,POINT (-58.3923 -34.6044),CALLAO AV. 415,3.8,1
PALERMO,Lesiones Seg Vial,2017-03-02 00:15:00,POINT (-58.42 -34.5965),"CABRERA, JOSE A. 3801",2.9,0
RETIRO,Lesiones Seg Vial,2017-03-02 09:20:00,POINT (-58.3731 -34.5962),RECONQUISTA 947,2.8,1
COLEGIALES,Lesiones Seg Vial,2017-03-02 16:30:00,POINT (-58.4509 -34.5805),ALVAREZ THOMAS AV. 583,4.4,0
MONSERRAT,Lesiones Seg Vial,2017-03-02 18:00:00,POINT (-58.431 -34.5751),"CAMPOS, LUIS M. AV. 150",47.8,0
COLEGIALES,Lesiones Seg Vial,2017-03-02 19:00:00,POINT (-58.4582 -34.5748),SUPERI 1313,4.5,1
VILLA URQUIZA,Lesiones Seg Vial,2017-03-02 06:00:00,POINT (-58.4896 -34.5663),PACHECO 3214,4.0,0
SAAVEDRA,Lesiones Seg Vial,2017-03-02 17:00:00,POINT (-58.5045 -34.56),"YRURTIA, ROGELIO 5603",272.8,0
SAAVEDRA,Lesiones Seg Vial,2017-03-02 14:00:00,POINT (-58.4862 -34.5586),"LARRALDE, CRISOLOGO AV. 4408",3.5,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-03-01 17:50:00,POINT (-58.4058 -34.6562),IGUAZU 1525,97.5,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-03-01 18:05:00,POINT (-58.4732 -34.6524),"PERON, EVA AV. 4283",35.0,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-03-01 07:45:00,POINT (-58.4163 -34.652),SAENZ AV. 997,5.1,0
BARRACAS,Lesiones Seg Vial,2017-03-01 15:35:00,POINT (-58.3787 -34.6518),SANTO DOMINGO 2292,2.8,0
BARRACAS,Lesiones Seg Vial,2017-03-01 06:30:00,POINT (-58.3962 -34.647),OLAVARRIA 3240,14.0,0
FLORES,Lesiones Seg Vial,2017-03-01 20:30:00,POINT (-58.4606 -34.6444),ECHEANDIA 2989,10.4,0
VILLA LURO,Lesiones Seg Vial,2017-03-01 19:35:00,POINT (-58.5003 -34.6422),GUARDIA NACIONAL 498,7.6,0
VILLA LURO,Lesiones Seg Vial,2017-03-01 19:35:00,POINT (-58.5003 -34.6422),GUARDIA NACIONAL 498,7.6,0
FLORES,Lesiones Seg Vial,2017-03-01 20:30:00,POINT (-58.4565 -34.6296),LAUTARO 194,5.4,0
MONTE CASTRO,Lesiones Seg Vial,2017-03-01 12:20:00,POINT (-58.5068 -34.6237),CERVANTES 1702,2.6,0
CONSTITUCION,Lesiones Seg Vial,2017-03-01 00:00:00,POINT (-58.3791 -34.6229),"IRIGOYEN, BERNARDO DE 1210",160.1,0
CABALLITO,Lesiones Seg Vial,2017-03-01 00:15:00,POINT (-58.4352 -34.6219),"MORENO, JOSE MARIA AV. 335",67.4,0
MONSERRAT,Lesiones Seg Vial,2017-03-01 08:05:00,POINT (-58.3689 -34.6158),CHILE AV. 250,7.5,0
VILLA GRAL. MITRE,Lesiones Seg Vial,2017-03-01 15:47:00,POINT (-58.4595 -34.6139),GAONA AV. 2317,4.9,0
MONSERRAT,Lesiones Seg Vial,2017-03-01 16:30:00,POINT (-58.3786 -34.6105),"ALSINA, ADOLFO 865",49.3,1
VILLA SANTA RITA,Lesiones Seg Vial,2017-03-01 18:10:00,POINT (-58.4835 -34.6089),ALVAREZ JONTE AV. 2902,7.4,0
BALVANERA,Lesiones Seg Vial,2017-03-01 02:05:00,POINT (-58.395 -34.6082),"MITRE, BARTOLOME 2002",5.1,0
ALMAGRO,Lesiones Seg Vial,2017-03-01 12:10:00,POINT (-58.4175 -34.5989),BULNES 1091,2.2,1
VILLA CRESPO,Lesiones Seg Vial,2017-03-01 21:20:00,POINT (-58.4291 -34.5963),"ALVAREZ, JULIAN 1039",68.8,1
PALERMO,Lesiones Seg Vial,2017-03-01 22:05:00,POINT (-58.4213 -34.5954),"ACUÑA DE FIGUEROA, FRANCISCO 1397",3.7,1
RECOLETA,Lesiones Seg Vial,2017-03-01 15:10:00,POINT (-58.4051 -34.5933),"ANCHORENA, TOMAS MANUEL DE, DR. 1424",4.0,0
VILLA DEVOTO,Lesiones Seg Vial,2017-03-01 11:15:00,POINT (-58.5154 -34.5904),SAN MARTIN AV. 7192,5.2,0
VILLA RIACHUELO,Lesiones Seg Vial,2017-04-30 17:00:00,POINT (-58.4779 -34.6866),GUAMINI 4836,44.8,0
MATADEROS,Lesiones Seg Vial,2017-04-30 05:50:00,POINT (-58.5185 -34.6624),"PAZ, GRAL. AV. 12694",16.5,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-04-30 10:55:00,POINT (-58.4119 -34.6495),CACHI 563,0.6,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-04-30 11:30:00,POINT (-58.4853 -34.6439),OLIVERA AV. 565,24.4,0
NUEVA POMPEYA,Lesiones Seg Vial,2017-04-30 16:00:00,POINT (-58.4229 -34.6428),LA PLATA AV. 2399,4.0,0
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-04-30 07:14:00,POINT (-58.4878 -34.6413),MEDINA 503,0.4,0
PARQUE CHACABUCO,Lesiones Seg Vial,2017-04-30 15:30:00,POINT (-58.4238 -34.6398),LA PLATA AV. 2167,48.9,0
VILLA LURO,Lesiones Seg Vial,2017-04-30 11:50:00,POINT (-58.5009 -34.6376),RIVADAVIA AV. 9693,4.0,0
LINIERS,Lesiones Seg Vial,2017-04-30 00:00:00,POINT (-58.5239 -34.637),GALLARDO 221,5.8,0
BARRACAS,Lesiones Seg Vial,2017-04-30 20:30:00,POINT (-58.3793 -34.6329),HERRERA 102,4.3,1
PARQUE PATRICIOS,Lesiones Seg Vial,2017-04-30 18:41:00,POINT (-58.3963 -34.6313),PICHINCHA AV. 1885,35.8,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-04-30 05:00:00,POINT (-58.3922 -34.6273),"GARAY, JUAN DE AV. 2158",3.9,1
PUERTO MADERO,Lesiones Seg Vial,2017-04-30 06:30:00,POINT (-58.3634 -34.6249),BRASIL AV. 1,11.8,0
CONSTITUCION,Lesiones Seg Vial,2017-04-30 07:35:00,POINT (-58.3807 -34.6176),"IRIGOYEN, BERNARDO DE 815",4.9,1
BALVANERA,Lesiones Seg Vial,2017-04-30 10:09:00,POINT (-58.4102 -34.6115),"URQUIZA, GRAL. 72",7.0,0
BALVANERA,Lesiones Seg Vial,2017-04-30 02:31:00,POINT (-58.4059 -34.6101),RIVADAVIA AV. 2903,6.6,1
MONSERRAT,Lesiones Seg Vial,2017-04-30 11:40:00,POINT (-58.3873 -34.6094),"SAENZ PEÑA, LUIS, PRES. 99",5.9,0
SAN NICOLAS,Lesiones Seg Vial,2017-04-30 00:20:00,POINT (-58.3809 -34.6061),"PELLEGRINI, CARLOS 187",5.3,1
BALVANERA,Lesiones Seg Vial,2017-04-30 05:05:00,POINT (-58.4042 -34.6034),LAVALLE 2640,52.3,0
PALERMO,Lesiones Seg Vial,2017-04-30 03:44:00,POINT (-58.4189 -34.5978),CORDOBA AV. 3696,4.1,0
PALERMO,Lesiones Seg Vial,2017-04-30 01:35:00,POINT (-58.4223 -34.5969),"ACUÑA DE FIGUEROA, FRANCISCO 1240",68.5,0
RETIRO,Lesiones Seg Vial,2017-04-30 22:00:00,POINT (-58.3858 -34.5956),TALCAHUANO 1120,8.7,0
RECOLETA,Lesiones Seg Vial,2017-04-30 02:50:00,POINT (-58.3966 -34.5895),"PACHECO DE MELO, JOSE ANDRES 2197",3.0,1
RECOLETA,Lesiones Seg Vial,2017-04-30 19:29:00,POINT (-58.3918 -34.5848),PUEYRREDON AV. 2595,8.3,1
PALERMO,Lesiones Seg Vial,2017-04-30 13:35:00,POINT (-58.4373 -34.5834),BONPLAND 1693,6.8,0
PALERMO,Lesiones Seg Vial,2017-04-30 19:23:00,POINT (-58.4046 -34.5804),"DIAZ, CNEL. AV. 2809",12.3,1
VILLA CRESPO,Lesiones Seg Vial,2017-04-29 09:46:00,POINT (-58.4405 -34.602),ARAOZ 106,4.0,1
VILLA CRESPO,Lesiones Seg Vial,2017-04-29 09:55:00,POINT (-58.4405 -34.602),ARAOZ 106,4.0,1
SAN NICOLAS,Lesiones Seg Vial,2017-04-29 04:00:00,POINT (-58.3916 -34.5996),CORDOBA AV. 1711,3.9,0
VILLA CRESPO,Lesiones Seg Vial,2017-04-29 01:42:00,POINT (-58.4398 -34.599),CORRIENTES AV. 5296,4.2,1
RECOLETA,Lesiones Seg Vial,2017-04-29 06:10:00,POINT (-58.4022 -34.5947),PUEYRREDON AV. 1385,23.7,0
RETIRO,Lesiones Seg Vial,2017-04-29 13:30:00,POINT (-58.3721 -34.5923),"GILARDI, GILARDO 1252",59.4,0
PALERMO,Lesiones Seg Vial,2017-04-29 14:05:00,POINT (-58.434 -34.5887),"CABRERA, JOSE A. 5207",2.6,0
PALERMO,Lesiones Seg Vial,2017-04-29 04:10:00,POINT (-58.4414 -34.5868),BONPLAND 1281,1.4,0
VILLA PUEYRREDON,Lesiones Seg Vial,2017-04-29 22:10:00,POINT (-58.5037 -34.5846),NAZCA 4897,5.9,0
COLEGIALES,Lesiones Seg Vial,2017-04-29 19:00:00,POINT (-58.4559 -34.5699),ELCANO 2802,3.8,0
BELGRANO,Lesiones Seg Vial,2017-04-29 19:40:00,POINT (-58.4509 -34.5529),DEL LIBERTADOR AV. 6401,2.4,1
SAAVEDRA,Lesiones Seg Vial,2017-04-29 17:35:00,POINT (-58.4719 -34.551),"LARRALDE, CRISOLOGO AV. 2805",2.7,0
SAAVEDRA,Lesiones Seg Vial,2017-04-29 11:15:00,POINT (-58.4702 -34.55),AMENABAR 3606,7.2,0
BELGRANO,Lesiones Seg Vial,2017-04-29 15:30:00,POINT (-58.436 -34.5427),"GUIRALDES, INT. 2651",5.3,1
PARQUE AVELLANEDA,Lesiones Seg Vial,2017-04-29 16:49:00,POINT (-58.4677 -34.6457),PRIMERA JUNTA 3702,11.5,1
PARQUE CHACABUCO,Lesiones Seg Vial,2017-04-29 15:00:00,POINT (-58.4415 -34.6436),COBO AV. 1899,2.6,0
FLORES,Lesiones Seg Vial,2017-04-29 14:30:00,POINT (-58.4537 -34.6387),"BONORINO, ESTEBAN, CNEL. AV. 999",3.7,0
BARRACAS,Lesiones Seg Vial,2017-04-29 20:00:00,POINT (-58.3731 -34.6323),"GARCIA, MARTIN AV. 650",25.9,0
BARRACAS,Lesiones Seg Vial,2017-04-29 20:00:00,POINT (-58.3708 -34.6286),DEFENSA 1737,53.8,0
CONSTITUCION,Lesiones Seg Vial,2017-04-29 15:05:00,POINT (-58.3884 -34.6249),CONSTITUCION 1601,4.0,1
ALMAGRO,Lesiones Seg Vial,2017-04-29 15:50:00,POINT (-58.4281 -34.6193),AGRELO 4395,21.4,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-04-29 08:47:00,POINT (-58.4032 -34.619),INDEPENDENCIA AV. 2676,27.6,1
MONSERRAT,Lesiones Seg Vial,2017-04-29 20:30:00,POINT (-58.3859 -34.616),MEXICO 1372,55.6,0
MONTE CASTRO,Lesiones Seg Vial,2017-04-29 16:00:00,POINT (-58.5063 -34.6159),"PAZ, MARCOS 2492",3.2,0
MONSERRAT,Lesiones Seg Vial,2017-04-29 06:46:00,POINT (-58.3917 -34.6138),ENTRE RIOS AV. 390,2.4,1
BALVANERA,Lesiones Seg Vial,2017-04-29 09:37:00,POINT (-58.4045 -34.6112),"YRIGOYEN, HIPOLITO 2696",2.4,1
BALVANERA,Lesiones Seg Vial,2017-04-29 13:38:00,POINT (-58.4064 -34.6101),ECUADOR 21,39.0,1
CABALLITO,Lesiones Seg Vial,2017-04-29 07:50:00,POINT (-58.4403 -34.606),"GALLARDO, ANGEL AV. 702",0.4,0
VILLA GRAL. MITRE,Lesiones Seg Vial,2017-04-29 04:50:00,POINT (-58.4649 -34.6029),"ALVAREZ, DONATO, TTE. GRAL. AV. 2096",7.5,0
PARQUE AVELLANEDA,Homicidio Seg Vial,2017-04-28 11:08:00,POINT (-58.4634 -34.6464),ECHEANDIA 3235,129.2,0
LINIERS,Lesiones Seg Vial,2017-04-28 23:30:00,POINT (-58.5289 -34.6417),IBARROLA 7295,4.8,0
PARQUE CHACABUCO,Lesiones Seg Vial,2017-04-28 19:30:00,POINT (-58.4463 -34.6397),PUMACAHUA 1387,4.0,1
VILLA LURO,Lesiones Seg Vial,2017-04-28 20:00:00,POINT (-58.5063 -34.6283),LOPE DE VEGA AV. 1205,1.9,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-04-28 01:43:00,POINT (-58.4016 -34.6264),CONSTITUCION 2607,2.1,0
FLORES,Lesiones Seg Vial,2017-04-28 20:15:00,POINT (-58.4667 -34.6251),AVELLANEDA AV. 2548,67.2,0
SAN CRISTOBAL,Lesiones Seg Vial,2017-04-28 00:05:00,POINT (-58.3948 -34.624),RINCON 1292,1.9,1
SAN CRISTOBAL,Lesiones Seg Vial,2017-04-28 22:30:00,POINT (-58.3937 -34.6237),SARANDI 1273,12.6,0
SAN TELMO,Lesiones Seg Vial,2017-04-28 14:40:00,POINT (-58.3771 -34.6235),PIEDRAS 1309,1.5,1
MONTE CASTRO,Lesiones Seg Vial,2017-04-28 09:00:00,POINT (-58.5061 -34.6231),MIRANDA 5049,2.1,0
CABALLITO,Lesiones Seg Vial,2017-04-28 20:30:00,POINT (-58.4473 -34.6229),RIVADAVIA AV. 5835,1.1,0
SAN TELMO,Lesiones Seg Vial,2017-04-28 19:20:00,POINT (-58.3696 -34.6177),PASEO COLON AV. 839,6.9,0
